_Artist_ID,Biography,Start_Date_Disp,End_Date_Disp,Display_Name,First_Name,Last_Name,Nat_Culture_L2,Sort_Name,Artist_Code
284,,1898,1976,Alexander Calder,Alexander,Calder,American,"Calder, Alexander",500007824
285,,1877,1966,Mary B. Call,Mary B.,Call,American,"Call, Mary B.",
286,,1906,1986,Kenneth Callahan,Kenneth,Callahan,American,"Callahan, Kenneth",500019403
287,,1912,1999,Harry Callahan,Harry,Callahan,American,"Callahan, Harry",500000873
288,,1592,1635,Jacques Callot,Jacques,Callot,French,"Callot, Jacques",500021688
289,,,,Hendrick Cantelbeek,Hendrick,Cantelbeek,Flemish,"Cantelbeek, Hendrick",
290,,1932,,Paul Caponigro,Paul,Caponigro,American,"Caponigro, Paul",500019913
291,,1818,1900,Gonsalvo Carelli,Gonsalvo,Carelli,Italian,"Carelli, Gonsalvo",500024888
292,"From collection file notes, found on typed index cards in an envelope addressed to Hugh, undated: &quot;Lawrence, K.S. Prof., Cermaic Art, U. of Kans...Fellow, American Ceramic Society...1962-Represented in &quot;1000 Years of American Pottery&quot; Museum of Contemporary Crafts, New York City...Work in permanent collection: Metropolitan Museum, New York City; Everson Museum, Syracuse, N.Y.; also in Belgium, Geneva and Finland...chosen as &quot;The Outstanding American Potter&quot; 1958.&quot;",1911,1999,J. Sheldon Carey,J. Sheldon,Carey,American,"Carey, J. Sheldon",
293,,1878,1968,Anne Carleton,Anne,Carleton,American,"Carleton, Anne",500336635
294,,1853,1932,(S&#246;ren) Emil Carlsen,(S&#246;ren) Emil,Carlsen,American (b. Denmark),"Carlsen, (S&#246;ren) Emil",
295,,,,Harold Carney,Harold,Carney,American,"Carney, Harold",
296,,1947,,Squeak Carnwath,Squeak,Carnwath,American,"Carnwath, Squeak",500329681
297,,1914,1992,James Carpenter,James,Carpenter,American,"Carpenter, James",
298,,,,Don Carr,Don,Carr,Canadian,"Carr, Don",
299,,1555,1619,Ludovico Carracci,Ludovico,Carracci,Italian,"Carracci, Ludovico",500009619
300,,1917,2011,Leonora Carrington,Leonora,Carrington,English,"Carrington, Leonora",500018196
301,,1881,1963,Francis E. Carson,Francis E.,Carson,American,"Carson, Francis E.",
302,,1927,,Aldo John Casanova,Aldo John,Casanova,American,"Casanova, Aldo John",
303,,1879,1956,Karl Caspar,Karl,Caspar,German,"Caspar, Karl",500015889
304,,1844,1926,Mary Cassatt,Mary,Cassatt,American,"Cassatt, Mary",500012368
305,,1961,,Fabian Cereijido,Fabian,Cereijido,Argentina,"Cereijido, Fabian",500333802
306,"Viviano COdazzi, 1604-1670",,,Michelangelo &amp; Viviano Cerquozzi &amp; Codazzi,Michelangelo &amp; Viviano,Cerquozzi &amp; Codazzi,Italian,"Cerquozzi &amp; Codazzi, Michelangelo &amp; Viviano",
307,lives and works in the United States,1975,,Alejandro Cesarco,Alejandro,Cesarco,Uruguayan,"Cesarco, Alejandro",
308,,1839,1906,Paul Cezanne,Paul,Cezanne,French,"Cezanne, Paul",500004793
309,,1914,2003,Lynn Chadwick,Lynn,Chadwick,English,"Chadwick, Lynn",
310,,1881,1944,Oliver Holbert Chaffee,Oliver Holbert,Chaffee,American,"Chaffee, Oliver Holbert",
311,,1887,1985,Marc Chagall,Marc,Chagall,French (b. Russia),"Chagall, Marc",500115354
312,,1927,2011,John Chamberlain,John,Chamberlain,American,"Chamberlain, John",500118724
313,,1808,1869,Thomas Chambers,Thomas,Chambers,American(b. England),"Chambers, Thomas",500023474
314,,1858,1947,Minerva (Josephine) Chapman,Minerva (Josephine),Chapman,American,"Chapman, Minerva (Josephine)",500003811
315,,,,Nancy Chase,Nancy,Chase,American,"Chase, Nancy",
316,,1849,1916,William Merritt Chase,William Merritt,Chase,American,"Chase, William Merritt",500115356
317,,,,A. P. Chase,A. P.,Chase,American,"Chase, A. P.",
318,,1951,,Louisa Chase,Louisa,Chase,American,"Chase, Louisa",
319,,1905,1969,Louis Chervin,Louis,Chervin,French,"Chervin, Louis",
320,,1935,,Carl Chiarenza,Carl,Chiarenza,American,"Chiarenza, Carl",500333278
321,,1872,1920s/30s,Robert Coleman Child,Robert Coleman,Child,American,"Child, Robert Coleman",
322,,1936,2016,William Christenberry,William,Christenberry,American,"Christenberry, William",500074045
323,,1935,,Javachef* Christo,Javachef*,Christo,American (b. Bulgaria),"Christo, Javachef*",
324,,1935,,Christo,,Christo,American b. Bulgaria,Christo,500115266
325,,1928,1984,John Chumley,John,Chumley,American,"Chumley, John",
326,,1894,1987,Nickolai Cikovsky,Nickolai,Cikovsky,American (b. Russia),"Cikovsky, Nickolai",500030276
327,,,,Cikovsky,,Cikovsky,,Cikovsky,
328,,1875,1969,Gustave E. Cimiotti,Gustave E.,Cimiotti,American,"Cimiotti, Gustave E.",
329,,1969,,David Claerbout,David,Claerbout,Belgian,"Claerbout, David",500198348
330,,1876,1949,Alson Skinner Clark,Alson Skinner,Clark,American,"Clark, Alson Skinner",500020848
331,,1804,1887,Alvin Clark,Alvin,Clark,American,"Clark, Alvin",500009532
